Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       95     0.00     0.00  std::setw(int)
  0.00      0.00     0.00       83     0.00     0.00  int __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)
  0.00      0.00     0.00       83     0.00     0.00  std::__cxx11::stoi(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long*, int)
  0.00      0.00     0.00       83     0.00     0.00  __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)::_Range_chk::_S_chk(long, std::integral_constant<bool, true>)
  0.00      0.00     0.00       83     0.00     0.00  __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)::_Save_errno::_Save_errno()
  0.00      0.00     0.00       83     0.00     0.00  __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)::_Save_errno::~_Save_errno()
  0.00      0.00     0.00       59     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.00     0.00       40     0.00     0.00  __gnu_cxx::__aligned_membuf<donor>::_M_ptr()
  0.00      0.00     0.00       40     0.00     0.00  __gnu_cxx::__aligned_membuf<donor>::_M_addr()
  0.00      0.00     0.00       40     0.00     0.00  std::_List_node<donor>::_M_valptr()
  0.00      0.00     0.00       37     0.00     0.00  blood_donation::~blood_donation()
  0.00      0.00     0.00       36     0.00     0.00  std::_List_iterator<donor>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.00     0.00       31     0.00     0.00  std::operator!=(std::_List_iterator<donor> const&, std::_List_iterator<donor> const&)
  0.00      0.00     0.00       26     0.00     0.00  bool std::operator!=<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.00     0.00       25     0.00     0.00  blood_donation::blood_donation(blood_donation const&)
  0.00      0.00     0.00       23     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.00     0.00       22     0.00     0.00  std::_List_iterator<donor>::operator->() const
  0.00      0.00     0.00       21     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
  0.00      0.00     0.00       20     0.00     0.00  donor::~donor()
  0.00      0.00     0.00       20     0.00     0.00  std::__cxx11::list<donor, std::allocator<donor> >::end()
  0.00      0.00     0.00       16     0.00     0.00  donor::donor(donor const&)
  0.00      0.00     0.00       15     0.00     0.00  receiver::~receiver()
  0.00      0.00     0.00       14     0.00     0.00  std::_List_iterator<donor>::operator*() const
  0.00      0.00     0.00       14     0.00     0.00  std::__cxx11::list<donor, std::allocator<donor> >::begin()
  0.00      0.00     0.00       13     0.00     0.00  std::_List_iterator<donor>::operator++()
  0.00      0.00     0.00       13     0.00     0.00  receiver const& std::forward<receiver const&>(std::remove_reference<receiver const&>::type&)
  0.00      0.00     0.00       12     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.00     0.00       12     0.00     0.00  std::operator==(std::_Deque_iterator<receiver, receiver&, receiver*> const&, std::_Deque_iterator<receiver, receiver&, receiver*> const&)
  0.00      0.00     0.00       11     0.00     0.00  blood_donation::blood_donation()
  0.00      0.00     0.00       10     0.00     0.00  std::_Deque_iterator<receiver, receiver&, receiver*>::_Deque_iterator(std::_Deque_iterator<receiver, receiver&, receiver*> const&)
  0.00      0.00     0.00        9     0.00     0.00  donor::get_aadhar_num[abi:cxx11]()
  0.00      0.00     0.00        9     0.00     0.00  donor::get_blood_group[abi:cxx11]()
  0.00      0.00     0.00        9     0.00     0.00  receiver::receiver(receiver const&)
  0.00      0.00     0.00        8     0.00     0.00  receiver&& std::forward<receiver>(std::remove_reference<receiver>::type&)
  0.00      0.00     0.00        8     0.00     0.00  donor const& std::forward<donor const&>(std::remove_reference<donor const&>::type&)
  0.00      0.00     0.00        7     0.00     0.00  std::deque<receiver, std::allocator<receiver> >::empty() const
  0.00      0.00     0.00        7     0.00     0.00  int (receiver::*&&std::forward<int (receiver::*)()>(std::remove_reference<int (receiver::*)()>::type&))()
  0.00      0.00     0.00        6     0.00     0.00  __gthread_active_p()
  0.00      0.00     0.00        6     0.00     0.00  receiver::receiver()
  0.00      0.00     0.00        6     0.00     0.00  __gnu_cxx::__aligned_membuf<receiver>::_M_ptr()
  0.00      0.00     0.00        6     0.00     0.00  __gnu_cxx::__aligned_membuf<receiver>::_M_addr()
  0.00      0.00     0.00        6     0.00     0.00  std::_Head_base<0ul, std::thread::_State*, false>::_M_head(std::_Head_base<0ul, std::thread::_State*, false>&)
  0.00      0.00     0.00        6     0.00     0.00  std::_List_node<receiver>::_M_valptr()
  0.00      0.00     0.00        6     0.00     0.00  std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_M_head(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00      0.00     0.00        6     0.00     0.00  std::_List_iterator<receiver>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.00     0.00        6     0.00     0.00  std::_Deque_iterator<receiver, receiver&, receiver*>::_S_buffer_size()
  0.00      0.00     0.00        6     0.00     0.00  std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::_M_ptr()
  0.00      0.00     0.00        6     0.00     0.00  std::thread::id::id()
  0.00      0.00     0.00        6     0.00     0.00  std::thread::_State*& std::__get_helper<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00      0.00     0.00        6     0.00     0.00  std::tuple_element<0ul, std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> > >::type& std::get<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00      0.00     0.00        6     0.00     0.00  void (&std::forward<void (&)()>(std::remove_reference<void (&)()>::type&))()
  0.00      0.00     0.00        6     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00        5     0.00     0.00  age_validation(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00        5     0.00     0.00  name_validation(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00        5     0.00     0.00  address_validation(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00        5     0.00     0.00  donor::donor()
  0.00      0.00     0.00        5     0.00     0.00  std::_Deque_iterator<receiver, receiver&, receiver*>::operator*() const
  0.00      0.00     0.00        5     0.00     0.00  std::__cxx11::list<donor, std::allocator<donor> >::empty() const
  0.00      0.00     0.00        5     0.00     0.00  std::_Deque_iterator<receiver, receiver&, receiver*>::_M_set_node(receiver**)
  0.00      0.00     0.00        5     0.00     0.00  std::deque<receiver, std::allocator<receiver> >::begin()
  0.00      0.00     0.00        5     0.00     0.00  std::__detail::_List_node_header::_M_init()
  0.00      0.00     0.00        5     0.00     0.00  std::operator!=(std::_Deque_iterator<receiver, receiver&, receiver*> const&, std::_Deque_iterator<receiver, receiver&, receiver*> const&)
  0.00      0.00     0.00        5     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.00      0.00     0.00        4     0.00     0.00  aadhar_validation(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
